"Host","Option","Before","Want","After","Status"
"10.0.1.14","/LSOM/VSANDeviceMonitoring","0","0","0","UNCHANGED"
"10.0.1.14","/LSOM/lsomSlowDeviceUnmount","0","0","0","UNCHANGED"
"10.0.1.14","/VSAN/SwapThickProvisionDisabled","1","1","1","UNCHANGED"
"10.0.1.14","/VSAN/Vsan2ZdomCompZstd","1","0","0","UPDATED"
"10.0.1.14","/VSAN/FakeSCSIReservations","0","1","1","UPDATED"
"10.0.1.14","/VSAN/GuestUnmap","0","1","1","UPDATED"
"10.0.1.15","/LSOM/VSANDeviceMonitoring","0","0","0","UNCHANGED"
"10.0.1.15","/LSOM/lsomSlowDeviceUnmount","0","0","0","UNCHANGED"
"10.0.1.15","/VSAN/SwapThickProvisionDisabled","1","1","1","UNCHANGED"
"10.0.1.15","/VSAN/Vsan2ZdomCompZstd","1","0","0","UPDATED"
"10.0.1.15","/VSAN/FakeSCSIReservations","0","1","1","UPDATED"
"10.0.1.15","/VSAN/GuestUnmap","0","1","1","UPDATED"
"10.0.1.16","/LSOM/VSANDeviceMonitoring","0","0","0","UNCHANGED"
"10.0.1.16","/LSOM/lsomSlowDeviceUnmount","0","0","0","UNCHANGED"
"10.0.1.16","/VSAN/SwapThickProvisionDisabled","1","1","1","UNCHANGED"
"10.0.1.16","/VSAN/Vsan2ZdomCompZstd","1","0","0","UPDATED"
"10.0.1.16","/VSAN/FakeSCSIReservations","0","1","1","UPDATED"
"10.0.1.16","/VSAN/GuestUnmap","0","1","1","UPDATED"
"10.0.1.17","/LSOM/VSANDeviceMonitoring","0","0","0","UNCHANGED"
"10.0.1.17","/LSOM/lsomSlowDeviceUnmount","0","0","0","UNCHANGED"
"10.0.1.17","/VSAN/SwapThickProvisionDisabled","1","1","1","UNCHANGED"
"10.0.1.17","/VSAN/Vsan2ZdomCompZstd","1","0","0","UPDATED"
"10.0.1.17","/VSAN/FakeSCSIReservations","0","1","1","UPDATED"
"10.0.1.17","/VSAN/GuestUnmap","0","1","1","UPDATED"
